Countries,All,Male,Female,Gender Gap
Japan,84.62,81.64,87.74,6.1
Singapore,83.74,81.5,86.1,4.6
South Korea,83.43,80.5,86.5,6
Norway,83.21,81.6,84.9,3.3
Australia,83.2,81.2,85.3,4.1
Switzerland,83.1,81.1,85.2,4.1
Iceland,83.07,81.7,84.5,2.8
Israel,82.7,80.7,84.8,4.1
Malta,82.65,80.8,84.6,3.8
Sweden,82.41,80.7,84.2,3.5
Italy,82.34,80.1,84.7,4.6
Spain,82.33,79.7,85.1,5.4
French Polynesia,82.22,79.32,85.83,6.51
Ireland,82.2,80.4,84.1,3.7
France,82.18,79.2,85.3,6.1
Finland,82.13,79.4,85,5.6
New Zealand,82.06,80.3,83.9,3.6
Bermuda,82.06,78.3,86,7.7
Liechtenstein,81.81,80.1,83.6,3.5
Canada,81.75,79.7,83.9,4.2
Luxembourg,81.74,79.4,84.2,4.8
Denmark,81.55,79.6,83.6,4
Netherlands,81.41,79.8,83.1,3.3
Cyprus,81.39,79.34,83.45,4.1
Channel Islands,81.26,79.14,83.39,4.25
Austria,81.19,78.9,83.6,4.7
Greece,81.09,78.6,83.7,5.1
Portugal,80.98,78,84.1,6.1
Germany,80.94,78.6,83.4,4.8
United Kingdom,80.9,79,82.9,3.9
New Caledonia,80.83,77.25,84.6,7.34
Belgium,80.8,78.6,83.1,4.5
Slovenia,80.53,77.8,83.4,5.6
Maldives,79.88,78.85,81.27,2.42
Chile,79.38,76.75,82.04,5.3
Costa Rica,79.28,76.75,81.91,5.16
Thailand,79.27,74.95,83.7,8.74
Bahrain,79.17,78.17,80.43,2.27
Qatar,79.1,78.22,80.68,2.45
United Arab Emirates,78.95,77.46,81.11,3.65
Antigua and Barbuda,78.84,76.06,81.32,5.25
Uruguay,78.43,74.69,81.91,7.22
Estonia,78.35,74.2,82.7,8.5
Czechia,78.23,75.3,81.3,6
China,78.08,75.31,81.06,5.75
Puerto Rico,78.04,73.64,82.59,8.94
Lebanon,77.8,75.64,79.89,4.26
Croatia,77.72,74.7,80.9,6.2
Cuba,77.57,75.04,80.22,5.18
Barbados,77.39,75.42,79.21,3.79
USA,77.28,74.5,80.2,5.7
Seychelles,77.24,72.7,82,9.3
Albania,76.99,74.63,79.68,5.04
Kuwait,76.92,75.35,80.02,4.67
Slovakia,76.87,73.5,80.4,6.9
Panama,76.66,73.47,80.03,6.56
Guam,76.61,72.2,81.87,9.67
Poland,76.6,72.6,80.8,8.2
Sri Lanka,76.39,72.6,80.11,7.51
Saudi Arabia,76.24,74.97,77.99,3.03
Bosnia and Herzegovina,76.22,74.04,78.41,4.37
Malaysia,75.94,73.65,78.47,4.82
Montenegro,75.93,73.2,78.8,5.6
Argentina,75.89,72.55,79.28,6.74
Turkey,75.85,72.77,79.06,6.29
Aruba,75.72,72.83,78.44,5.62
North Macedonia,75.69,73.62,77.87,4.25
Hungary,75.62,72.3,79.1,6.8
Latvia,75.39,70.9,80.1,9.2
Vietnam,75.38,70.79,79.92,9.13
Tunisia,75.29,71.84,79.28,7.44
Jordan,75.18,72.99,77.77,4.79
Lithuania,74.93,70.1,80,9.9
Grenada,74.92,72.21,77.87,5.66
Iran,74.83,72.1,77.82,5.71
Cabo Verde,74.81,70.33,79.16,8.83
Brunei,74.8,72.75,77.03,4.28
Colombia,74.77,71.54,78.14,6.6
Oman,74.76,73.29,76.79,3.5
Algeria,74.45,73.08,75.91,2.83
Trinidad and Tobago,74.41,70.98,77.88,6.9
Palestine,74.4,72.16,76.68,4.52
Romania,74.35,70.5,78.4,7.9
Serbia,74.23,71.4,77.2,5.8
Belarus,74.23,69.3,79.4,10.1
Mauritius,74.18,70.86,77.66,6.8
Brazil,74.01,70.7,77.38,6.67
Morocco,73.92,71.76,76.31,4.55
Peru,73.67,70.81,76.82,6.01
Bulgaria,73.61,69.9,77.5,7.6
St. Lucia,73.42,70.04,77.06,7.01
North Korea,73.27,70.79,75.72,4.93
Paraguay,73.18,70.4,76.16,5.76
Dominican Republic,72.89,69.36,76.91,7.55
Belize,72.85,69.56,76.63,7.06
Samoa,72.77,70.34,75.46,5.12
Georgia,72.77,67.74,77.87,10.13
Bahamas,72.68,69.1,76.27,7.17
Caribbean small states,72.57,69.78,75.45,5.67
Suriname,72.56,69.26,75.98,6.72
Libya,72.47,69.87,75.35,5.48
World,72.27,69.82,74.88,5.06
Armenia,72.17,67.05,77,9.94
Ecuador,72.15,68.77,76.06,7.29
Mongolia,72.14,67.5,77.02,9.52
Syria,72.14,68.89,75.56,6.67
St. Vincent and the Grenadines,72.13,69.81,74.94,5.13
Philippines,72.12,70.24,74,3.75
Bangladesh,71.97,70.19,73.96,3.77
Jamaica,71.87,69.82,73.92,4.1
Kyrgyzstan,71.8,67.8,76,8.2
Guatemala,71.8,68.26,75.55,7.29
Nicaragua,71.8,68.65,75.01,6.36
Bhutan,71.61,69.97,73.54,3.57
Honduras,71.46,69.13,73.99,4.86
Greenland,71.4,69.59,73.31,3.72
Kazakhstan,71.37,67.09,75.53,8.44
Russia,71.34,66.49,76.43,9.94
Ukraine,71.19,66.39,76.22,9.83
Venezuela,71.09,66.74,75.81,9.07
El Salvador,71.06,66.43,75.41,8.98
Egypt,70.99,68.67,73.39,4.72
Tonga,70.93,68.34,73.7,5.36
Micronesia,70.67,67.11,74.54,7.43
Cambodia,70.42,68,72.72,4.73
Uzbekistan,70.33,67.88,72.79,4.91
Vanuatu,70.3,68.55,72.43,3.88
Solomon Islands,70.2,68.79,71.8,3.01
Moldova,70.17,65.69,74.85,9.16
India,70.15,68.61,71.82,3.21
Mexico,70.13,66.33,74.31,7.98
Pacific island small states,69.47,67.63,71.47,3.84
Nepal,69.25,67.34,71.17,3.83
Iraq,69.12,66.95,71.19,4.23
Indonesia,68.81,66.75,70.98,4.24
Turkmenistan,68.69,65.39,71.98,6.59
Laos,68.5,66.52,70.59,4.07
Guyana,68.49,65.08,72.12,7.04
Timor-Leste,68.47,66.84,70.28,3.44
Senegal,68.01,65.59,70.27,4.68
Tajikistan,67.99,66,70.17,4.17
Fiji,67.92,66.17,69.74,3.58
Sao Tome and Principe,67.78,65.16,70.88,5.72
Kiribati,67.27,65.35,68.95,3.6
Eritrea,67.13,64.86,69.34,4.48
Azerbaijan,66.87,62.99,71,8.01
Myanmar,66.8,63.78,69.96,6.17
Rwanda,66.77,64.36,69,4.64
Gabon,66.53,64.26,69.12,4.86
Tanzania,66.41,64.37,68.54,4.17
Pakistan,66.27,63.95,68.83,4.88
Papua New Guinea,65.79,63.4,68.8,5.41
Botswana,65.65,63.14,68.05,4.91
Sudan,65.61,63.11,68.21,5.1
Ethiopia,65.37,62.52,68.43,5.91
South Africa,65.25,62.18,67.96,5.79
Madagascar,65.18,62.89,67.61,4.72
Yemen,64.65,61.64,67.89,6.25
Mauritania,64.53,62.78,66.33,3.55
Bolivia,64.47,61.56,67.84,6.28
Comoros,64.17,61.98,66.59,4.62
Ghana,64.11,61.9,66.39,4.49
Haiti,64.05,61.13,67.12,5.99
"Congo, Rep.",63.78,62.21,65.4,3.19
Malawi,63.72,60.01,67.6,7.58
Uganda,62.85,60.72,64.9,4.18
Namibia,62.83,59.06,66.61,7.55
Djibouti,62.69,60.07,65.46,5.39
Kenya,62.67,60.37,65.06,4.69
Gambia,62.61,61.02,64.23,3.21
Afghanistan,62.58,59.87,65.43,5.57
Zambia,62.38,59.64,65.04,5.4
Angola,62.26,59.58,64.98,5.4
Burundi,61.57,59.47,63.67,4.21
Niger,61.45,60.47,62.45,1.98
Mozambique,61.17,58.11,64.16,6.05
Zimbabwe,61.12,58.13,63.86,5.73
Togo,61.03,60.49,61.58,1.09
Liberia,60.95,59.53,62.35,2.83
Cameroon,60.83,59.08,62.63,3.55
Equatorial Guinea,60.71,58.81,62.94,4.13
Benin,60.09,58.69,61.48,2.79
Guinea-Bissau,60,57.61,62.27,4.65
Sierra Leone,59.76,58.4,61.12,2.71
DR Congo,59.74,57.82,61.7,3.88
Burkina Faso,59.73,57.79,61.6,3.81
Eswatini,59.69,56.03,63.68,7.65
Guinea,59.33,58.11,60.45,2.34
Cote d'Ivoire,59.03,57.86,60.35,2.49
Mali,58.63,57.38,59.94,2.55
Somalia,55.97,53.97,58.05,4.08
South Sudan,55.48,53.91,57,3.09
Lesotho,54.69,51.96,57.54,5.57
Central African Republic,54.6,52.58,56.76,4.17
Nigeria,52.89,52.46,53.32,0.87
Chad,52.78,51.22,54.4,3.18
